Title,Title_URL,Image,Tag,resultbox_totalrate,Address,resultbox_overall,Keywords,resultbox_amenities,Comment,blue_whitefill_animate,resultbox_btnbox,Number
 Holiday One ,https://www.justdial.com/Bangalore/Holiday-One-Near-SLV-Fast-Food-St-Johns-Road/080PXX80-XX80-090924131052-I6H3_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/h3/080pxx80.xx80.090924131052.i6h3/catalogue/holiday-one-st-johns-road-bangalore-tour-packages-2a18z4e-250.jpg?w=3840&q=75,,4.7,No.51 St Johns Road,7 Ratings,"Travel Agents
Online Passport Agents",Travel Agents,,Send Enquiry,,Show Number
 Airones Travel Solution Pvt Ltd ,https://www.justdial.com/Bangalore/Airones-Travel-Solution-Pvt-Ltd-Jayanagar/080PXX80-XX80-101027172712-Y2W5_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/w5/080pxx80.xx80.101027172712.y2w5/catalogue/airone-travel-solution-pvt-ltd-jayanagar-bangalore-visa-assistance-nmm3k0vgjl-250.jpg?clr=#3b4b1b?w=3840&q=75,,4.0,4th T Block Jayanagar,203 Ratings,Hotel Bookings,Hotel Bookings,"Airone Travel Solutions was a one stop destination for managing our recent trip. They handled all our travel arrangements including Air ticket booking, vehicle arrangemen...more",Send Enquiry,,Show Number
 Journey World Vacations Pvt Ltd ,https://www.justdial.com/Bangalore/Journey-World-Vacations-Pvt-Ltd-Opposite-Star-Bucks-Building-Shanthala-Nagar/080PXX80-XX80-100716131508-Q5R2_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/r2/080pxx80.xx80.100716131508.q5r2/catalogue/journey-world-vacations-pvt-limited-church-street-bangalore-travel-agents-3ckg5v4-250.jpg?w=3840&q=75,,4.0,HBC Building Shanthala Nagar,29 Ratings,"Travel Agents
Online Passport Agents",Travel Agents,,Send Enquiry,,Show Number
 Tarang Tours and Travels ,https://www.justdial.com/Bangalore/Tarang-Tours-and-Travels-Bommanahalli/080PXX80-XX80-200208144713-I4B9_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/b9/080pxx80.xx80.200208144713.i4b9/catalogue/tarang-tours-and-travels-bangalore-7e5jr7cnqe-250.jpg?clr=#523914?w=3840&q=75,,3.5,Bommanahalli,2 Ratings,"Travel Agents
International Travel Agents",Travel Agents,,Send Enquiry,,Show Number
 Richie Rich Holidays ,https://www.justdial.com/Bangalore/Richie-Rich-Holidays-Near-Rv-Dental-College-Jp-Nagar/080P4302828_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/def_content/air_ticketing_agents/default-air-ticketing-agents-11-250.jpg?clr=#522914?w=3840&q=75,,4.7,LIC Row Houses Jp Nagar,183 Ratings,"Hotel Bookings
Corporate Travel
Sight Seeing Planning
Provides Travel Insurance",Hotel Bookings,,Send Enquiry,,Show Number
 Sadiq Tours International ,https://www.justdial.com/Bangalore/Sadiq-Tours-International-Near-Masjid-E-Sultana-HBR-Layout/080PXX80-XX80-220924173916-G4D7_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/d7/080pxx80.xx80.220924173916.g4d7/catalogue/sadiq-tours-international-hbr-layout-bangalore-travel-agents-l1cgvxm33m-250.jpg?clr=#4f4117?w=3840&q=75,,5.0,80feet Road HBR Layout,1 Ratings,"Travel Agents
Tour Packages",Travel Agents,,Send Enquiry,,Show Number
 Aditi International Tours and Travels ,https://www.justdial.com/Bangalore/Aditi-International-Tours-and-Travels-Near-Aditi-Mobiles-Yelahanka/080PXX80-XX80-100716171826-G6Y7_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/y7/080pxx80.xx80.100716171826.g6y7/catalogue/aditi-international-tours-and-travels-yelahanka-bangalore-international-travel-agents-4almftl-250.jpg?w=3840&q=75,,3.8,B B Road Yelahanka,79 Ratings,"Hotel Bookings
Corporate Travel
Sight Seeing Planning
Provides Travel Insurance",Hotel Bookings,,Send Enquiry,,Show Number
 Travel Zone ,https://www.justdial.com/Bangalore/Travel-Zone-Near-Big-Bazar-Bellandur/080PXX80-XX80-151007100107-Z6T6_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/t6/080pxx80.xx80.151007100107.z6t6/catalogue/travel-zone-bellandur-bangalore-travel-agents-363nmsg-t.jpeg?w=3840&q=75,,4.0,Sarjapura Main Road Bellandur,13 Ratings,"Travel Agents
Car Rental",Travel Agents,,Send Enquiry,,Show Number
 Spp Tours and Travels ,https://www.justdial.com/Bangalore/Spp-Tours-and-Travels-Near-Vivekananda-Statue-Nagarbhavi-2nd-Stage/080PXX80-XX80-110826120336-U8D5_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/e4/080pxx80.xx80.121124105907.b2e4/catalogue/spp-tours-and-travels-nagarbhavi-bangalore-travel-agents-3v822ee-250.jpg?w=3840&q=75,,3.7,Main Road Nagarbhavi 2nd Stage,20 Ratings,"Travel Agents
Car Rental",Travel Agents,,Send Enquiry,,Show Number
 D.B.Travels ,https://www.justdial.com/Bangalore/DBTravels-OppMangalore-PUCollege-Muneshwara-Nagar-Jnana-Ganga-Nagar/080PXX80-XX80-181004184022-U6C3_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/c3/080pxx80.xx80.181004184022.u6c3/catalogue/d-b-travels-jnana-jyothi-nagar-jnana-bharathi-bangalore-1ecgaqzfgh-250.jpg?clr=#392d39?w=3840&q=75,,3.8,Muneshwara Nagar-Jnana Ganga Nagar,22 Ratings,"Travel Agents
Bus Ticketing Agents",Travel Agents,,Send Enquiry,,Show Number
 Travelife ,https://www.justdial.com/Bangalore/Travelife-Jayanagar-4th-Block/080P1235638977U5G1H5_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/h5/080p1235638977u5g1h5/catalogue/travelife-jayanagar-4th-block-bangalore-travel-agents-47ab45r-250.jpg?w=3840&q=75,,4.9,11th Main Jayanagar 4th Block,135 Ratings,"Travel Agents
Tour Packages",Travel Agents,,Send Enquiry,,Show Number
 Ascon Travel Pvt Ltd ,https://www.justdial.com/Bangalore/Ascon-Travel-Pvt-Ltd-Next-Dominos-Pizza-Frazer-Town/080PNE01985_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/85/080pne01985/catalogue/ascon-travel-pvt-ltd-frazer-town-bangalore-international-tour-operators-1w3xw6t-250.jpg?w=3840&q=75,,3.8,Coles Road Frazer Town,104 Ratings,"Travel Agents
Tour Packages",Travel Agents,,Send Enquiry,,Show Number
 Rohan Enterprises ,https://www.justdial.com/Bangalore/Rohan-Enterprises-Near-Brand-Factory-Wilson-Garden/080PXX80-XX80-130822123127-E1G2_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/g2/080pxx80.xx80.130822123127.e1g2/catalogue/rohan-enterprises-wilson-garden-bangalore-travel-agents-i1lbja-250.jpg?w=3840&q=75,,4.3,13th Cross Wilson Garden,34 Ratings,"Travel Agents
Tour Packages",Travel Agents,,Send Enquiry,,Show Number
 Cox & Kings Ltd ,https://www.justdial.com/Bangalore/Cox-Kings-Ltd-Next-Kalanjali-Showroom-Malleswaram/080PXX80-XX80-131112090847-Q6G5_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/g5/080pxx80.xx80.131112090847.q6g5/catalogue/cox-and-kings-ltd-malleswaram-bangalore-tour-operators-92eonjttir-250.jpg?clr=#006600?w=3840&q=75,,3.7,Malleswaram,451 Ratings,"Travel Agents
Foreign Exchange Agents",Travel Agents,,Send Enquiry,,Show Number
 Hasna Travels ,https://www.justdial.com/Bangalore/Hasna-Travels-Dominas-Left-Side-Nagawara/080PXX80-XX80-220129153425-L2L6_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/l6/080pxx80.xx80.220129153425.l2l6/catalogue/-hlm8h2f5t0-250.jpg?clr=#394422?w=3840&q=75,,5.0,Nagawara,1 Ratings,"Travel Agents
Car Rental",Travel Agents,,Send Enquiry,,Show Number
 Globewel Holidays ,https://www.justdial.com/Bangalore/Globewel-Holidays-Opposite-Indian-Oil-Petrol-Bunk-Behind-Image-Diagnostic-Nagawara/080PXX80-XX80-121115172019-B6I4_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/i4/080pxx80.xx80.121115172019.b6i4/catalogue/globewel-holidays-r-t-nagar-bangalore-international-tour-packages-0jihudrv90-250.jpg?w=3840&q=75,,4.5,Block Nagwara Junction Nagawara,104 Ratings,"Travel Agents
Tour Packages",Travel Agents,Our family tour to Dubai booked with Globewel Holidays was excellent. Good spots were selected and package charges were comparatively good. Travel East or West Globewel H...more,Send Enquiry,,Show Number
 Emerald Holidays ,https://www.justdial.com/Bangalore/Emerald-Holidays-Near-Bysham-Circle-Rajajinagar/080PXX80-XX80-150423140938-F8K5_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/k5/080pxx80.xx80.150423140938.f8k5/catalogue/emerald-holidays-rajajinagar-bangalore-tour-package-for-disneyland-4kj2kqh-250.jpg?w=3840&q=75,,4.0,59th Cross Rajajinagar,20 Ratings,"Travel Agents
Tour Packages",Travel Agents,,Send Enquiry,,Show Number
 My Trip Holidays ,https://www.justdial.com/Bangalore/My-Trip-Holidays-Opp-to-Rbi-Water-Tank-Jp-Nagar-7th-Phase/080PXX80-XX80-131111123722-U5Z2_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/z2/080pxx80.xx80.131111123722.u5z2/catalogue/-8qvoirams4-250.jpg?w=3840&q=75,Trending,4.7,Sri Jp Nagar 7th Phase,73 Ratings,"Travel Agents
Car Rental For Outstation",Travel Agents,,Send Enquiry,,Show Number
 Aishwarya holidays consultant ,https://www.justdial.com/Bangalore/Aishwarya-holidays-consultant-Opposite-to-Nethradama-Hospital-Jayanagar-7th-Block/080PXX80-XX80-181207135051-Y7P4_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/p4/080pxx80.xx80.181207135051.y7p4/catalogue/aishwarya-holidays-consultant-bangalore-m51vratj3x-250.jpg?w=3840&q=75,,5.0,10th Cross Jayanagar 7th Block,2 Ratings,"Travel Agents
Bus Ticketing Agents",Travel Agents,"It was a wonderful experience, Well organized trip and the co-ordination between the event organizers and travel agents was excellent. Good Hospitality. Planning for a va...more",Send Enquiry,,Show Number
 Maxworth Tours And Travels ,https://www.justdial.com/Bangalore/Maxworth-Tours-And-Travels-Opposite-Padmashree-Presidency-Jp-Nagar/080PXX80-XX80-111008152838-E1Y3_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/y3/080pxx80.xx80.111008152838.e1y3/catalogue/maxworth-tours-and-travels-jp-nagar-bangalore-travel-agents-0mo4ounsjr-250.jpg?w=3840&q=75,,3.7,5th Phase Jp Nagar,77 Ratings,"Travel Agents
Tour Packages For Tirupati",Travel Agents,"Today, March 24th at 10:45 PM i called Maxworth, they told me they don't facilitate TAXI service but they provided me the contacts of Taxi... You might think whats specia...more",Send Enquiry,,Show Number
 Silver Wing Tours And Travels ,https://www.justdial.com/Bangalore/Silver-Wing-Tours-And-Travels-Next-to-Anand-Sweets-Frazer-Town/080PXX80-XX80-131006144554-C2P5_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/p5/080pxx80.xx80.131006144554.c2p5/catalogue/silver-wing-tours-and-travels-frazer-town-bangalore-travel-agents-2d4bf3z-250.jpg?w=3840&q=75,Trending,4.2,M M Road Frazer Town,30 Ratings,"Travel Agents
Railway Ticketing Agents",Travel Agents,,Send Enquiry,,Show Number
 Kanishka World Tours ,https://www.justdial.com/Bangalore/Kanishka-World-Tours-Near-Jayanagar-Police-Station-Jayanagar-4th-Block-East/080PXX80-XX80-150624144456-G8R6_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/r6/080pxx80.xx80.150624144456.g8r6/catalogue/kanishka-world-tours-jayanagar-4th-block-east-bangalore-tour-operators-1xpd8xf-250.jpg?w=3840&q=75,,3.6,Cross Jayanagar 4th Block East,9 Ratings,"Travel Agents
Tour Packages For Tirupati",Travel Agents,,Send Enquiry,,Show Number
 Sbr Travels ,https://www.justdial.com/Bangalore/Sbr-Travels-Near-Tata-Nagar-Circle-Kodigehalli/080PXX80-XX80-151208134442-U1D3_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/d3/080pxx80.xx80.151208134442.u1d3/catalogue/sbr-travels-bangalore-3640380uy2-250.jpg?clr=#f4957?w=3840&q=75,Trending,4.4,Main Road Kodigehalli,14 Ratings,Pickup and Drop Facility,Pickup and Drop Facility,,Send Enquiry,,Show Number
 Sri Byraveshwara Tours And Travels ,https://www.justdial.com/Bangalore/Sri-Byraveshwara-Tours-And-Travels-Opposite-Poorvika-Mobiles-Kamakshipalya/080PXX80-XX80-200104152703-E4C5_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/bangalore/c5/080pxx80.xx80.200104152703.e4c5/catalogue/sri-bhyraveshwara-tours-and-travels-bangalore-0ht5d6gjws-250.jpg?clr=#522914?w=3840&q=75,,4.3,Magadi Main Road Kamakshipalya,26 Ratings,"Travel Agents
Car Rental",Travel Agents,,Send Enquiry,,Show Number
 Snap Tours ,https://www.justdial.com/Bangalore/Snap-Tours-Above-Imperial-Restaurant-Cunningham-Road/080PXX80-XX80-140917172555-J4V7_BZDET?ncatid=10966943&area=&search=%20International%20Travel%20Agents%20in%20Bangalore&mncatname=International%20Travel%20Agents&abd_btn=&abd_heading=,https://content.jdmagicbox.com/comp/def_content_category/tour-packages-for-america/glacier-national-park-tour-packages-for-america-1-bzbxi-250.jpg?w=3840&q=75,,4.2,Millers Road Cunningham Road,17 Ratings,"Travel Agents
Tour Packages",Travel Agents,,Send Enquiry,,Show Number
